id,topicId,question,optionA,optionB,optionC,answer,image,explanation,difficulty
208,2,Find the equivalent capacitance for the circuit below. All capacitors are in μF.,Ceq = 8.1,Ceq = 8.4,Ceq = 8.7,Ceq = 8.4,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ3.png?raw=true,,2
209,2,"An inductor has a linear change in current from 40 mA to 120 mA in 3 ms, and induces a voltage of 150 mV. Find the value of the inductor.",L = 5.526 mH,L = 5.265mH,L = 5.625 mH,L = 5.625 mH,,,2
210,2,Determine the voltage and the energy stored in the 60 μF capacitor.,"V = 60.0V, W=108.0mJ","V = 60.5V, W=108.3mJ","V = 58.0V, W=108.0mJ","V = 60.0V, W=108.0mJ",https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ5.png?raw=true,,2
211,2,Find the equivalent inductance with respect to terminals a and b.,Leq = 9.2H,Leq = 9.3H,Leq = 9.1H,Leq = 9.2H,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ6.png?raw=true,,2
212,2,"Two magnetically coupled coils have self-inductances of 20 mH and 80 mH, and the mutual inductance between them is 32 mH. Find (a) the coefficient of coupling, and (b) the largest value that M can have.","K = 0.8555, M_max = 40.0mH","K = 0.8, M_max = 40.55mH","K = 0.8, M_max = 40.0mH","K = 0.8, M_max = 40.0mH",,,2
213,2,"The voltage across a 30 mF capacitor at t = 0 is 15 V, for t > 0 the current 6t mA flows through it. Calculate the voltage at 3 = 3s.",V = 15.3V,V = 15.9V,V = 16.3V,V = 15.9V,,,2
214,2,"Find i_L, V_c, and the energy stored in the capacitor and inductor in the below circuit.","i_L = 2.86A, V_c = 0V, W_L = 8.16J, W_C = 0.5J","i_L = 2.86A, V_c = 0.3V, W_L = 8.16J, W_C = 0J","i_L = 2.86A, V_c = 0V, W_L = 8.16J, W_C = 0J","i_L = 2.86A, V_c = 0V, W_L = 8.16J, W_C = 0J",https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ9.png?raw=true,,2
215,2,"P = -0.207microW""","i = -3.381mA, P = -0.270microW","i = -3.339mA, P = -0.207microW","i = -3.379mA, P = -0.267microW","i = -3.381mA, P = -0.270microW",,,2
216,2,The current through a 15 mH inductor is 20e^(-t/3). Calculate the voltage and power at t = 4s.,"v = -26.359 mV, P = -138.966mW","v = -27.359 mV, P = -133.966mW","v = -26.359 mV, P = -138.696mW","v = -26.359 mV, P = -138.966mW",,,2
217,2,"The voltage across a 4 H inductor is 40(1-e^(-4t))V. Assume the initial current of the inductor is 0.5 A, and find the energy stored in the inductor at t = 2s.",W = 645.06J,W = 648.06J,W = 682.06J,W = 648.06J,,,2
101,1,What is the Laplace transform of a time-domain signal f(t)?,,,,,,,1
102,1,What is the Laplace transform of u(t)u(t)u(t)?,A. s,,c. 1/s,c. 1/s,,,1
103,1,Which of the following correctly represents a capacitor in the s-domain (zero initial voltage)?,A. sC,B. 1/C,C.1/sC,C.1/sC,,,1
101,1,"In DC steady state, a capacitor behaves as an open circuit.",TRUE,FALSE,,TRUE,(It behaves as a short circuit),,1
102,1,Initial conditions in Laplace analysis appear as independent sources in the s-domain.,TRUE,FALSE,,TRUE,,,1
101,1,what is the S domain for the following components? ,u(t),capacitor,inductor,u(t),1/sC=3/s,,2
102,1,mesh 1(left side): fill in the blank: (a)I1(s)+(b)I2(s)=(c),,,,,,,2
101,1,mesh 2(right side): fill in the blank:(d)I1(s)+(e)I2(s)=(f),d=(?),e=(?),f=(?),d=(?),5+s+3/s,,2
102,1,calculateV0(s),,,,,,,2
103,1,calculateV0(t),,,,,,,2
101,1,"                                                                                   enter the vsalues for A,B,C,D",A=0.357,B=0.5,C=-0.357,A=0.357,,,2
102,1,Determine io(t) across the 2H inductor for t>0 in the network below by applying Laplace transforms.,,,,,,,2
101,1,Which of the following is NOT a standard assumption for an ideal operational amplifier?,Infinite open-loop voltage gain,Zero input offset voltage and current,Infinite output impedance,Infinite output impedance,,,2
102,1,"In an ideal op amp, what is the voltage difference between the inverting and non-inverting inputs when negative feedback is applied?",Equal to supply voltage,Zero,Depends on the input signal,Zero,,,2
103,1,What is the configuration of the op-amp shown in the figure?,Non-inverting amplifier,Differential amplifier,Inverting amplifier,Inverting amplifier,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Inv.png?raw=true,,2
104,1,Which op amp configuration provides a positive gain without inverting the input signal?,Non-inverting amplifier,Differential amplifier,Inverting amplifier,Non-inverting amplifier,,,2
105,1,What is the configuration of the op-amp shown in the figure?,Differential amplifier,Non-inverting amplifier,Inverting amplifier,Non-inverting amplifier,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/NonInv.png?raw=true,,2
106,1,Which component is essential for setting the gain in an inverting op amp configuration?,Capacitor,Diode,Resistor,Resistor,,,2
107,1,What happens if the op amp is used without feedback?,It acts as comparator,It amplifies with controlled gain,It becomes a voltage follower,It acts as comparator,,,2
108,1,What is the main purpose of negative feedback in op amp circuits?,Eliminate output voltage,Increase open-loop gain,Stabilize and control closed-loop gain,Stabilize and control closed-loop gain,,,2
109,1,An op-amp is best modeled as which type of dependent source?,Current-controlled current source,Voltage-controlled current source,Voltage-controlled voltage source,Voltage-controlled voltage source,,,2
110,1,Why is the output impedance of an ideal op-amp assumed to be zero?,To prevent input terminals from drawing current,Op-amp cannot deliver any current to the load,To ensure output voltage is unaffected by the connected load,To ensure output voltage is unaffected by the connected load,,,2
111,1,"Among the many uses of operational amplifiers, which of the following represents a valid application",To generate digital clock pulse,To amplify voltage signals,To store electrical charge like a capacitor,To amplify voltage signals,,,2
112,1,What is the output voltage Vo in terms of Vi?,1-Vi,Vi,0,Vi,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Follower.jpg?raw=true,,2
113,1,"If input voltage is 0, what is the output voltage?",0V,1V,2V,0V,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Input.png?raw=true,,2
114,1,Find the output voltage V3.,-1,-3,-6,-6,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output.png?raw=true,,2
115,1,Find the output voltage Vout.,9,10,12,12,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output2.png?raw=true,,2
116,1,Find the current flowing through R3.,1A,2A,3A,1A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output3.png?raw=true,,2
117,1,What is the voltage at point A?,(V1/R1)*R2,(-V1/R1)*R2,V1,(-V1/R1)*R2,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output4.png?raw=true,,2
118,1,What is the current flowing through R3 from the ground?,(-V1/R1)*R2/R3,(V1/R1)*R2/R3,V2/R1,(-V1/R1)*R2/R3,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output4.png?raw=true,,2
119,1,What is the expression of V_out in terms of V_in?,(R2/R1)*V_in,(R1/R2)*V_in,(1+R2/R1)*V_in,(1+R2/R1)*V_in,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/NonInv.png?raw=true,,2
120,1,What is the expression of V_out in terms of V_in?,(-R2/R1)*V_in,(-R1/R2)*V_in,(R2/R1)*V_in,(-R2/R1)*V_in,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Inv.png?raw=true,,2
121,1,"A series RC circuit has R=10 kΩR=10\,\text{k}\OmegaR=10kΩ and C=10 μFC=10\,\mu\text{F}C=10μF. A DC source is connected at t=0t=0t=0. What is the time constant?",0.01 s,0.1 s,1 s,0.1 s,,,2
122,1,"In an RC circuit, vC(0−)=5 Vv_C(0^-)=5\,\text{V}vC​(0−)=5V. What is vC(0+)v_C(0^+)vC​(0+)?",0 V,2.5 V,5 V,5 V,,,2
123,1,"For a charging RC circuit with a DC source, vC(t)v_C(t)vC​(t) will:",Increase linearly,Increase exponentially,Oscillate,Increase exponentially,,,2
124,1,"An RL circuit has R=5 ΩR=5\,\OmegaR=5Ω, L=2 HL=2\,\text{H}L=2H. What is the time constant?",0.1 s,0.4 s,2.5 s,0.4 s,,,2
125,1,Which statement is always true for an ideal inductor?,Voltage is continuous,Current is continuous,Power is continuous,Current is continuous,,,2
126,1,"In an RL circuit switched at t=0t=0t=0, iL(0+)i_L(0^+)iL​(0+) is:",Steady-state value,Infinite,Equal to iL(0−)i_L(0^-)iL​(0−),Equal to iL(0−)i_L(0^-)iL​(0−),,,2
127,1,A series RLC circuit is underdamped when:,R2>4L/CR^2>4L/CR2>4L/C,R2=4L/CR^2=4L/CR2=4L/C,R2<4L/CR^2<4L/CR2<4L/C,R2<4L/CR^2<4L/CR2<4L/C,,,2
128,1,The natural response of a circuit is due to:,External sources,Initial stored energy,AC excitation,Initial stored energy,,,2
129,1,Which is required for a second-order transient response?,One resistor,One capacitor,One inductor and one capacitor,One inductor and one capacitor,,,2
130,1,A transient response is usually negligible after about:,1τ1\tau1τ,2τ2\tau2τ,5τ5\tau5τ,5τ5\tau5τ,,,2
131,1,"In sinusoidal steady-state analysis, all voltages and currents:",Are constant,Grow exponentially,Have the source frequency,Have the source frequency,,,2
132,1,The phasor of v(t)=10cos⁡(100t+30∘)v(t)=10\cos(100t+30^\circ)v(t)=10cos(100t+30∘) is:,10∠30∘10∠30^\circ10∠30∘,10∠−30∘10∠-30^\circ10∠−30∘,5∠30∘5∠30^\circ5∠30∘,10∠30∘10∠30^\circ10∠30∘,,,2
133,1,The impedance of a capacitor is:,jωCj\omega CjωC,1/(jωC)1/(j\omega C)1/(jωC),ωC\omega CωC,1/(jωC)1/(j\omega C)1/(jωC),,,2
134,1,The impedance of an inductor is:,1/(jωL)1/(j\omega L)1/(jωL),ωL\omega LωL,jωLj\omega LjωL,jωLj\omega LjωL,,,2
135,1,"In a purely capacitive circuit, current:",Lags voltage by 90°,Leads voltage by 90°,Is in phase,Leads voltage by 90°,,,2
136,1,The average power consumed by a pure inductor is:,Maximum,Reactive only,Zero,Zero,,,2
137,1,Power factor is defined as:,Q/SQ/SQ/S,cos⁡θ\cos\thetacosθ,Vrms/IrmsV_{rms}/I_{rms}Vrms​/Irms​,cos⁡θ\cos\thetacosθ,,,2
138,1,Frequency response analysis studies circuit behavior as:,Time varies,Resistance varies,Frequency varies,Frequency varies,,,2
139,1,"In an RC low-pass filter, output is taken across the:",Resistor,Capacitor,Source,Capacitor,,,2
140,1,The total response of a linear circuit equals the sum of:,DC and AC,Input and output,Transient and steady-state,Transient and steady-state,,,2
301,3,A transfer function H(s) is defined as:,Vin(s) / Vout(s),"Y(s) / X(s) , where Y is o/p, X is i/p",I(s) / V(s) ,"Y(s) / X(s) , where Y is o/p, X is i/p",,,2
302,3,"If a pole lies in the Open Left Half Plane, the response is",Exponentially Decaying Sinusoid,Exponential Decay,Exponentially Growing Sinusoid,Exponential Decay,,,2
303,3,"For a simple RC circuit, if Vin(s) is applied to a series R and C (output across C) the transfer function H(s) = Vc(s) / Vin(s) is:",1 / ( sRC + 1),sRC / (sRC + 1),R / (sRC + 1),1 / ( sRC + 1),,,2
304,3,"In a two-port network, the transfer admittance Y21(s) is defined as:",V2(s) / I1(s) with V2 = 0,I2(s) / V2(s) with V2 = 0,V1(s) / I2(s) with I1 = 0,I2(s) / V2(s) with V2 = 0,,,2
305,3,Which stable output responses y(t) is critically damped?,"All poles of Y(s) are real, negative and distinct.",All poles of Y(s) lie in the open LHP with at least 1 pair of complex conjugate poles,All the poles of Y(s) are real negative with at least 2 same poles,All the poles of Y(s) are real negative with at least 2 same poles,,,2
306,3,"Given H(s) = (s + 5) / (s^2 + 3s + 2), the finite poles are at:",s = -5,"s = -1, -2",s= -3,"s = -1, -2",,,2
307,3,A network function H(s) =                                          10(s + 2) / s(s + 1)(s + 3)^2,"Double pole at s = -3, zero at s = -2","Double zero at s = -3, pole at s = -2","Poles at s= 0, -1, -3","Double pole at s = -3, zero at s = -2",,,2
308,3,"An active network has H(s) = -a / RCs + 1 - a. For stability, we require:",a > 1,a < 1,a = 1,a < 1,,,2
309,3,"For a series RLC circuit with R = 4ꭥ, L =1H, C = 0.25F, the transfer function Vc(s) / Vin(s) is:",1 / s^2 +4s + 4,4 / s^2 +4s + 4,1 / s^2 +4s + 1,1 / s^2 +4s + 4,,,2
310,3,"For a low-pass RC filter (R = 1kꭥ, C = 1uF), the transfer function H(s) = Vo(s)/Vi(S) is:",1 / (1 + s),1 / (1 + sRC),1 / (1 + 0.001s),1 / (1 + 0.001s),,,2
311,3,"If H(s) has a pole at s = 0 and all others in LHP, and input x(t) = sin(wt)u(t) is applied, the steady-state response will:",Grow linearly with time,Be sinusoidal with constant amplitude,Decay to zero,Be sinusoidal with constant amplitude,,,2
312,3,Which of the following defines the port condition for a two-port network?,V1 = V2 ,The current entering one terminal of a port equals the current leaving the other terminal of the same port,No voltage difference between ports,The current entering one terminal of a port equals the current leaving the other terminal of the same port,,,2
313,3,"For the admittance parameters (y), y21 is defined as:","I2 / V1 , V2 = 0","I1 / V2 , V1 = 0","V2 / I1 , I2 = 0","I2 / V1 , V2 = 0",,,2
314,3,"For a reciprocal two-port network containing only R,L,C and transformer (no dependent sources), which is always true?",z12 = z21,h12 = h21,AD - BC = 0,z12 = z21,,,2
315,3,Two-ports are connected in cascade. Which parameter set is most convenient to find overall parameters?,z-parameters,y-parameters,ABCD-parameters,ABCD-parameters,,,2
316,3,A two-port network is symmetrical if: ,z11 = z22,z12 = z21,y12 = -y21,z11 = z22,,,2
317,3,"If the z-parameter matrix is [4,2 ; 2,5], the y-parameter matrix is:","[5/16, -2/16; -2/16, 4/16]","[4, -2; -2, 5]","[0.3125, -0.125; -0.125, 0.25]","[0.3125, -0.125; -0.125, 0.25]",,,2
318,3,"For a reciprocal network, the condition in terms of hybrid parameters is:",h12 = h21,h12 = -h21,h11 = h22,h12 = -h21,,,2
319,3,"When 2 two-port are connected in parallel, the overall y-parameter matrix is:",Sum of individual y-matrices,Product of individual y-matrices,Inverse of the sum of z-matrices,Sum of individual y-matrices,,,2
320,3,The ABCD parameter B is defined as:,"V1 / V2 , I2 = 0","V1 / -I2 , V2 = 0","I1 / V2 , I2 = 0","V1 / -I2 , V2 = 0",,,2
321,3,In the context of frequency domain analysis what is the angular frequency (ω) of a standard DC voltage source?,20 rad/s,60 rad/s,0 rad/s,0 rad/s,,,2
322,3,Which of the following correctly compares the behavior of an ideal Capacitor in DC steady state versus AC steady state?,DC: Short Circuit AC: Open Circuit,DC: Open Circuit AC: Frequency-dependent Impedance (1/jωC),DC: Resistor AC: Short Circuit,DC: Open Circuit AC: Frequency-dependent Impedance (1/jωC),,,2
323,3,A resistor R=10 Ohm is used in a circuit. How does its impedance change if the source switches from DC to high-frequency AC?,It increases linearly with frequency,It decreases with frequency,It remains constant at 10 Ohm,It remains constant at 10 Ohm,,,2
324,3,Calculate the reactance (XL) of a 5 H inductor when connected to a DC voltage source.,5 Ohm,0 Ohm,Infinite,0 Ohm,,,2
325,3,Calculate the reactance (XL) of the same 5 H inductor when connected to an AC source with ω = 10 rad/s.,50 Ohm,0.5 Ohm,5 Ohm,50 Ohm,,,2
326,3,"Which of the following correctly describes the ""Effective Value"" (RMS) of an AC current?",It is the peak value divided by 2,It is the average value over half a cycle,It is the equivalent DC current that delivers the same average power to a resistor,It is the equivalent DC current that delivers the same average power to a resistor,,,2
327,3,Determine the RMS value of a sinusoidal voltage v(t) with a peak amplitude of 100 V.,100 V,141.4 V,70.7 V,70.7 V,,,2
328,3,What is the RMS value of a steady DC voltage v(t) = 10 V?,0 V,10 V,7.07 V,10 V,,,2
329,3,Why can we NOT use Phasors to solve a circuit that has both DC and AC sources simultaneously in a single step?,Phasors are frequency-specific; DC and AC have different frequencies,Phasors only work for resistors,DC sources cannot be represented in math,Phasors are frequency-specific; DC and AC have different frequencies,,,2
330,3,"In a Series RC circuit, if the frequency of the source omega increases from 0 (DC) to Infinity, what happens to the magnitude of the total impedance |Z|?",It increases,It decreases,It stays constant,It decreases,,,2
331,3,A current is given by i(t) = 5 cos(377t). What is the frequency f in Hertz?,50 Hz,60 Hz,377 Hz,60 Hz,,,2
332,3,"A voltage source v(t) = 12 + 10 cos(2t) V is connected to a Series RL circuit (R=4, L=2). Calculate the DC component of the resulting current.",3.0 A,12.0 A,12.0A,3.0 A,,,2
333,3,"For the same circuit (R=4, L=2) and input v(t) = 12 + 10 cos(2t), calculate the AC component of the current in phasor form.",2.5 angle 0 deg A,1.77 angle -45 deg A,1.77 angle 45 deg A,1.77 angle -45 deg A,,,2
334,3,Calculate the Total RMS value of the mixed current signal i(t) = 3 + 4 cos(t) A.,5.0 A,3.5 A,4.12 A,4.12 A,,,2
335,3,A resistor R=5 Ohm is fed by a current i(t) = 2 + 5 cos(10t) A. Calculate the Total Average Power absorbed.,45 W,82.5 W,145 W,82.5 W,,,2
336,3,Find the total energy W dissipated by a 10 Ohm resistor over 1 second if the current is i(t) = 5 A (DC).,25 J,50 J,250 J,250 J,,,2
337,3,A source v(t) = 20 + 20 cos(100t) is applied across a Capacitor C=1mF. What is the steady-state current i(t)?,20 mA,00:00,-2 sin(100t) A,-2 sin(100t) A,,,2
338,3,"Two voltage sources are in series: v1(t)=10V (DC) and v2(t)=10cos(t) V (AC). If measured by a standard DC Voltmeter, what will the reading be?",0 V,10 V,17.07 V,10 V,,,2
339,3,"For a signal v(t) = Vm cos(ωt), what is the ratio of the Maximum Instantaneous Power to the Average Power absorbed by a resistor?",1,1.414,2,2,,,2
340,3,Why is the current written as i(t)= I_DC + I_AC cos(ωt+ϕ)?,Because resistors require two currents,Because capacitors only respond to AC,Because DC and AC sources affect the circuit independently,Because DC and AC sources affect the circuit independently,,,2
