Stage,QuestionText,OptionA,OptionB,OptionC,OptionD,Correct,Image,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ1,"Determine i1, i2, i3 in the circuit below.","i1=12, i2=0, i3=3","i1=13, i2=1, i3=2","i1=12, i2=0, i3=4","i1=13, i2=1, i3=3",a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ1.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ2,"Find V1, V2, V3, V4 in the circuit below.","V1=8,V2=5,V3=2,V4=3","V1=-2,V2=-1,V3=-4,V4=9","V1=8,V2=5,V3=2,V4=4","V1=-2,V2=-1,V3=-4,V4=10",b,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ2.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ3,Determine V1 in the below circuit. (Please round answer to 2 decimal places).,25.85,25.32,26.18,26.19,c,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ3.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ4,Calculate V and 𝑖𝑥 in the circuit below.,"V=-4,ix=8","V=4,ix=-3.33","V=-4,ix=9","V=4,ix=-3.34",b,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ4.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ5,"Calculate v1, v2, and v3.","v1=-17,v2=5,v3=-9","v=-1,v2=-23,v3=9","v1=-17,v2=5,v3=-10","v=-2,v2=-23,v3=10",b,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ5.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ6,Find Vx in Volts. (Please round answer to 2 decimal places).,5.14,5.60,6.05,6.50,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ6.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ7,Find the equivalent resistance Req in the circuit below (in Ohms). (Please round answer to 2 decimal places).,75,81,87,83,d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ7.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ8,Find the equivalent resistance Req in the circuit below (in Ohms). (Please round answer to 2 decimal places).,41.14,48.76,42.62,45.55,c,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ8.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ9,Calculate Vx in the circuit below.,10,11,12,9,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ9.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ10,Find the power associated with the 25kΩ resistor (in kW). (Please round answer to 2 decimal places).,0.69,0.72,0.59,0.81,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ10.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ11,"In the below circuit, calculate vo (in volts). (Please round answer to 2 decimal places).",0,-1,1,-5,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ11.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsAverageQ12,Find the equivalent resistance between a and b terminals. (Please round answer to 2 decimal places).,23.33,24.26,24.25,20.55,c,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ12.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsChallengingQ1,"In the below circuit, determine Vo and the power absorbed by the dependent source.","V0 = -11.43, P = 574.7","V0 = -11.41, P = 574.8","V0 = -11.45, P = 575.01","V0 = -11.43, P = 574.17",a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ1.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsChallengingQ2,Find i1 to i4 in the below circuit.,"i1 = –6.07, i2 = –1.64, i3 = –7.51, i4 = –2.77","i1 = –5.17, i2 = –2.54, i3 = –6.51, i4 = –3.77","i1 = –7.71, i2 = –2.57, i3 = –6.17, i4 = –1.54","i1 = –6.17, i2 = –1.54, i3 = –7.71, i4 = –2.57",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ2.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsChallengingQ3,Determine Vo and Io.,"Vo = 60.3 V, Io = 1.13 A","Vo = 52.4 V, Io = 0.67 A","Vo = 151.9 V, Io = 1.24 A","Vo = 50 V, Io = 0 A",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ3.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsChallengingQ4,Calculate V and I in the circuit below.,"V = 4.64V, I = 10.41A","V = 3.85V, I = 8.19A","V = 4.64V, I = 10.47A","V = 3.81V, I = 8.19A",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ4.png?raw=true,,,,,,,,,,,,,,,,,,
W1_BasicLawsChallengingQ5,Calculate the equivalent resistance between a and b terminals. All of the resistances are 60 Ω.,66.67,66.64,66.61,70.12,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ5.png?raw=true,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Storage Elements,,,,,,,,,,,,,,,,,,,,,,,,,
W2_ESEEasyQ1,Find Leq in the circuit below. Assume L = 10mH,5,5.33,4.54,4.52,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEEasyQ1.png?raw=true,,,,,,,,,,,,,,,,,,
W2_ESEEasyQ2,"A circuit consisting of a DC voltage source, a resistor, and a capacitor has been connected for a very long time. In this steady-state condition, how does the capacitor behave in the circuit?",It acts as a short circuit,It acts as an open circuit.,It acts as a purely resistive element.,It acts as an ideal voltage source.,b,,,,,,,,,,,,,,,,,,,
W2_ESEEasyQ3,An inductor with an inductance of L = 4mH has a steady current of I = 5A flowing through it. What is the total energy stored in the inductor's magnetic field?,10mJ,50mJ,100mJ,20mJ,b,,,,,,,,,,,,,,,,,,,
W2_ESEEasyQ4,A student connects two capacitors of 10microF in series. What is the equivalent capacitance of this combination?,20microF,10microF,5microF,100microF,c,,,,,,,,,,,,,,,,,,,
W2_ESEEasyQ5,"A switch in a circuit containing an inductor is suddenly opened at t=0. Which of the following statements is true regarding the inductor's current, i_L, the moment the switch is toggled?",The current immediately drops to zero.,The current reverses direction instantly.,The current cannot change instantaneously,The voltage across the inductor must remain constant.,c,,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ1,The voltage across a parallel combination of 120 mF capacitor and a 15 Ω resistor is 45e^-2000t V. Calculate the power which is absorbed by this parallel combination.,-486000e^-4000t,-486020e^-4050t,-485865e^-4000t,-485865000e^-4550t,c,,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ2,The current through a 1 F capacitor is 8(2-e^-t) A. Determine the voltage and power at t = 3s. Assume v(0)= 0.,"V = 40.4, P = 630.31","V = 40.12, P = 630.32","V = 40.1, P = 630.31","V = 40.45, P = 630.34",a,,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ3,Find the equivalent capacitance for the circuit below. All capacitors are in μF.,Ceq = 8.1,Ceq = 8.4,Ceq = 8.7,Ceq = 9.2,b,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ3.png?raw=true,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ4,"An inductor has a linear change in current from 40 mA to 120 mA in 3 ms, and induces a voltage of 150 mV. Find the value of the inductor.",L = 5.526 mH,L = 5.265mH,L = 5.625 mH,L = 5.625 MH,c,,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ5,Determine the voltage and the energy stored in the 60 μF capacitor.,"V = 60.0V, W=108.0mJ","V = 60.5V, W=108.3mJ","V = 58.0V, W=108.0mJ","V = 60.0V, W=109.0mJ",a,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ5.png?raw=true,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ6,Find the equivalent inductance with respect to terminals a and b.,Leq = 9.2H,Leq = 9.3H,Leq = 9.1H,Leq = 10.2H,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ6.png?raw=true,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ7,"Two magnetically coupled coils have self-inductances of 20 mH and 80 mH, and the mutual inductance between them is 32 mH. Find (a) the coefficient of coupling, and (b) the largest value that M can have.","K = 0.8555, M_max = 40.0mH","K = 0.8, M_max = 40.55mH","K = 0.8, M_max = 40.0mH","K = 0.7, M_max = 40.0mH",c,,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ8,"The voltage across a 30 mF capacitor at t = 0 is 15 V, for t > 0 the current 6t mA flows through it. Calculate the voltage at 3 = 3s.",V = 15.3V,V = 15.9V,V = 16.3V,V = 17.1V,b,,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ9,"Find i_L, V_c, and the energy stored in the capacitor and inductor in the below circuit.","i_L = 2.86A, V_c = 0V, W_L = 8.16J, W_C = 0.5J","i_L = 2.86A, V_c = 0.3V, W_L = 8.16J, W_C = 0J","i_L = 2.88A, V_c = 0V, W_L = 8.16J, W_C = 0J","i_L = 2.86A, V_c = 0V, W_L = 8.16J, W_C = 0J",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ9.png?raw=true,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ10,"The voltage across a 10 F capacitor is 5te^(-6t). Find the current and power of the capacitor at t = 2s.
","i = -3.379mA, P = -0.207microW","i = -3.381mA, P = -0.270microW","i = -3.339mA, P = -0.207microW","i = -3.379mA, P = -0.267microW",a,,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ11,The current through a 15 mH inductor is 20e^(-t/3). Calculate the voltage and power at t = 4s.,"v = -26.359 mV, P = -138.966mW","v = -27.359 mV, P = -133.966mW","v = -26.359 mV, P = -138.696mW","v = -26.366 mV, P = -138.966mW",a,,,,,,,,,,,,,,,,,,,
W2_ESEAverageQ12,"The voltage across a 4 H inductor is 40(1-e^(-4t))V. Assume the initial current of the inductor is 0.5 A, and find the energy stored in the inductor at t = 2s.",W = 645.06J,W = 648.06J,W = 682.06J,W = 692.60J,b,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
5. Circuit analysis using Laplace transforms,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamental questions,,,,,,,,,,,,,,,,,,,,,,,,,
simple,What is the Laplace transform of a time-domain signal f(t)?,,,,,C,,,,,,,,,,,,,,,,,,,
simple,What is the Laplace transform of u(t)u(t)u(t)?,A. s,,c. 1/s,D.1,C,,,,,,,,,,,,,,,,,,,
simple,Which of the following correctly represents a capacitor in the s-domain (zero initial voltage)?,A. sC,B. 1/C,C.1/sC,D.s/C,C,,,,,,,,,,,,,,,,,,,
simple,"Which expression gives 
𝑓(0+)?",,,,,B,,,,,,,,,,,,,,,,,,,
simple,"Find the Laplace transform of
f(t)=3u(t)",,,,,3/s,,,,,,,,,,,,,,,,,,,
intermediate,,,,,,1/(s+5),,,,,,,,,,,,,,,,,,,
intermediate,,,,,,s/(s^2+16),,,,,,,,,,,,,,,,,,,
intermediate,,,,,,,,,,,,,,,,,,,,,,,,,
simple,"In DC steady state, a capacitor behaves as an open circuit.",TRUE,FALSE,,,FALSE ,(It behaves as a short circuit),,,,,,,,,,,,,,,,,,
simple,Initial conditions in Laplace analysis appear as independent sources in the s-domain.,TRUE,FALSE,,,TRUE,,,,,,,,,,,,,,,,,,,
intermediate,,,,,,,,,,,,,,,,,,,,,,,,,
intermediate,what is the S domain for the following components? ,u(t),capacitor,inductor,,1/S,1/sC=3/s,sL=s,,,,,,,,,,,,,,,,,
intermediate,mesh 1(left side): fill in the blank: (a)I1(s)+(b)I2(s)=(c),,,,,,,,,,,,,,,,,,,,,,,,
intermediate,,a=(?),b=(?),c=(?),,1+3/s,-3/s,1/s,,,,,,,,,,,,,,,,,
intermediate,mesh 2(right side): fill in the blank:(d)I1(s)+(e)I2(s)=(f),d=(?),e=(?),f=(?),,-3/s,5+s+3/s,0,,,,,,,,,,,,,,,,,
intermediate,calculateV0(s),,,,,,,,,,,,,,,,,,,,,,,,
intermediate,calculateV0(t),,,,,,,,,,,,,,,,,,,,,,,,
intermediate,,,,,,c,,,,,,,,,,,,,,,,,,,
intermediate,"                                                                                   enter the vsalues for A,B,C,D",A=0.357,B=0.5,C=-0.357,D=0.625,,,,,,,,,,,,,,,,,,,,
intermediate,Determine io(t) across the 2H inductor for t>0 in the network below by applying Laplace transforms.,,,,,B,,,,,,,,,,,,,,,,,,,
intermediate,,,,,,B,,,,,,,,,,,,,,,,,,,
Basic (Opamp),Which of the following is NOT a standard assumption for an ideal operational amplifier?,Infinite open-loop voltage gain,Zero input offset voltage and current,Infinite input impedance,Infinite output impedance,D,,,,,,,,,,,,,,,,,,,
Basic (Opamp),"In an ideal op amp, what is the voltage difference between the inverting and non-inverting inputs when negative feedback is applied?",Equal to supply voltage,Zero,Depends on the input signal,Equal to output voltage,B,,,,,,,,,,,,,,,,,,,
Basic (Opamp),What is the configuration of the op-amp shown in the figure?,Non-inverting amplifier,Differential amplifier,Inverting amplifier,Voltage follower,C,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Inv.png?raw=true,,,,,,,,,,,,,,,,,,
Basic (Opamp),Which op amp configuration provides a positive gain without inverting the input signal?,Non-inverting amplifier,Differential amplifier,Inverting amplifier,Summing amplifier,A,,,,,,,,,,,,,,,,,,,
Basic (Opamp),What is the configuration of the op-amp shown in the figure?,Differential amplifier,Non-inverting amplifier,Inverting amplifier,Voltage follower,B,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/NonInv.png?raw=true,,,,,,,,,,,,,,,,,,
Basic (Opamp),Which component is essential for setting the gain in an inverting op amp configuration?,Capacitor,Diode,Resistor,Transistor,C,,,,,,,,,,,,,,,,,,,
Basic (Opamp),What happens if the op amp is used without feedback?,It acts as comparator,It amplifies with controlled gain,It becomes a voltage follower,It rejects input signals,A,,,,,,,,,,,,,,,,,,,
Basic (Opamp),What is the main purpose of negative feedback in op amp circuits?,Eliminate output voltage,Increase open-loop gain,Stabilize and control closed-loop gain,Reduce input impedance,C,,,,,,,,,,,,,,,,,,,
Basic (Opamp),An op-amp is best modeled as which type of dependent source?,Current-controlled current source,Voltage-controlled current source,Current-controlled voltage source,Voltage-controlled voltage source,D,,,,,,,,,,,,,,,,,,,
Basic (Opamp),Why is the output impedance of an ideal op-amp assumed to be zero?,To prevent input terminals from drawing current,Op-amp cannot deliver any current to the load,To ensure output voltage is unaffected by the connected load,To make the op-amp behave like an open circuit at the output,C,,,,,,,,,,,,,,,,,,,
Basic (Opamp),"Among the many uses of operational amplifiers, which of the following represents a valid application",To generate digital clock pulse,To amplify voltage signals,To store electrical charge like a capacitor,To convert AC signals directly into DC power,B,,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),What is the output voltage Vo in terms of Vi?,1-Vi,Vi,0,A*Vi (where A is open-loop gain),B,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Follower.jpg?raw=true,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),"If input voltage is 0, what is the output voltage?",0V,1V,2V,3V,A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Input.png?raw=true,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),Find the output voltage V3.,-1,-3,-6,-9,C,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output.png?raw=true,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),Find the output voltage Vout.,9,10,11,12,D,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output2.png?raw=true,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),Find the current flowing through R3.,1A,2A,3A,4A,A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output3.png?raw=true,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),What is the voltage at point A?,(V1/R1)*R2,(-V1/R1)*R2,V1,V2,B,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output4.png?raw=true,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),What is the current flowing through R3 from the ground?,(-V1/R1)*R2/R3,(V1/R1)*R2/R3,V2/R1,V2/R2,A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output4.png?raw=true,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),What is the expression of V_out in terms of V_in?,(R2/R1)*V_in,(R1/R2)*V_in,(1+R2/R1)*V_in,(1+R1/R2)*V_in,C,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/NonInv.png?raw=true,,,,,,,,,,,,,,,,,,
Intermediate (Opamp),What is the expression of V_out in terms of V_in?,(-R2/R1)*V_in,(-R1/R2)*V_in,(R2/R1)*V_in,(R1/R2)*V_in,A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Inv.png?raw=true,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,"A series RC circuit has R=10 kΩR=10\,\text{k}\OmegaR=10kΩ and C=10 μFC=10\,\mu\text{F}C=10μF. A DC source is connected at t=0t=0t=0. What is the time constant?",0.01 s,0.1 s,1 s,10 s,B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,"In an RC circuit, vC(0−)=5 Vv_C(0^-)=5\,\text{V}vC​(0−)=5V. What is vC(0+)v_C(0^+)vC​(0+)?",0 V,2.5 V,5 V,Depends on R,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,"For a charging RC circuit with a DC source, vC(t)v_C(t)vC​(t) will:",Increase linearly,Increase exponentially,Oscillate,Remain constant,B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,"An RL circuit has R=5 ΩR=5\,\OmegaR=5Ω, L=2 HL=2\,\text{H}L=2H. What is the time constant?",0.1 s,0.4 s,2.5 s,10 s,B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,Which statement is always true for an ideal inductor?,Voltage is continuous,Current is continuous,Power is continuous,Energy is zero,B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,"In an RL circuit switched at t=0t=0t=0, iL(0+)i_L(0^+)iL​(0+) is:",Steady-state value,Infinite,Equal to iL(0−)i_L(0^-)iL​(0−),Always zero,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,A series RLC circuit is underdamped when:,R2>4L/CR^2>4L/CR2>4L/C,R2=4L/CR^2=4L/CR2=4L/C,R2<4L/CR^2<4L/CR2<4L/C,R=0R=0R=0,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,The natural response of a circuit is due to:,External sources,Initial stored energy,AC excitation,Controlled sources,B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,Which is required for a second-order transient response?,One resistor,One capacitor,One inductor and one capacitor,Two resistors,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,A transient response is usually negligible after about:,1τ1\tau1τ,2τ2\tau2τ,3τ3\tau3τ,5τ5\tau5τ,D,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,"In sinusoidal steady-state analysis, all voltages and currents:",Are constant,Grow exponentially,Have the source frequency,Depend on initial conditions,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,The phasor of v(t)=10cos⁡(100t+30∘)v(t)=10\cos(100t+30^\circ)v(t)=10cos(100t+30∘) is:,10∠30∘10∠30^\circ10∠30∘,10∠−30∘10∠-30^\circ10∠−30∘,5∠30∘5∠30^\circ5∠30∘,10∠100∘10∠100^\circ10∠100∘,A,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,The impedance of a capacitor is:,jωCj\omega CjωC,1/(jωC)1/(j\omega C)1/(jωC),ωC\omega CωC,1/(ωC)1/(\omega C)1/(ωC),B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,The impedance of an inductor is:,1/(jωL)1/(j\omega L)1/(jωL),ωL\omega LωL,jωLj\omega LjωL,−jωL-j\omega L−jωL,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,"In a purely capacitive circuit, current:",Lags voltage by 90°,Leads voltage by 90°,Is in phase,Is zero,B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,The average power consumed by a pure inductor is:,Maximum,Reactive only,Zero,Negative,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,Power factor is defined as:,Q/SQ/SQ/S,cos⁡θ\cos\thetacosθ,Vrms/IrmsV_{rms}/I_{rms}Vrms​/Irms​,sin⁡θ\sin\thetasinθ,B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,Frequency response analysis studies circuit behavior as:,Time varies,Resistance varies,Frequency varies,Temperature varies,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,"In an RC low-pass filter, output is taken across the:",Resistor,Capacitor,Source,Inductor,B,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,The total response of a linear circuit equals the sum of:,DC and AC,Input and output,Transient and steady-state,Natural only,C,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
Transient and steady-state responses,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkFunctions,A transfer function H(s) is defined as:,Vin(s) / Vout(s),"Y(s) / X(s) , where Y is o/p, X is i/p",I(s) / V(s) ,N(s) / D(s),B,,,,,,,,,,,,,,,,,,,
NetworkFunctions,"If a pole lies in the Open Left Half Plane, the response is",Exponentially Decaying Sinusoid,Exponential Decay,Exponentially Growing Sinusoid,a constant,B,,,,,,,,,,,,,,,,,,,
NetworkFunctions,"For a simple RC circuit, if Vin(s) is applied to a series R and C (output across C) the transfer function H(s) = Vc(s) / Vin(s) is:",1 / ( sRC + 1),sRC / (sRC + 1),R / (sRC + 1),1 / sRC,A,,,,,,,,,,,,,,,,,,,
NetworkFunctions,"In a two-port network, the transfer admittance Y21(s) is defined as:",V2(s) / I1(s) with V2 = 0,I2(s) / V2(s) with V2 = 0,V1(s) / I2(s) with I1 = 0,I1(s) / V2(s) with I1 = 0,B,,,,,,,,,,,,,,,,,,,
NetworkFunctions,Which stable output responses y(t) is critically damped?,"All poles of Y(s) are real, negative and distinct.",All poles of Y(s) lie in the open LHP with at least 1 pair of complex conjugate poles,All the poles of Y(s) are real negative with at least 2 same poles,All the poles of Y(s) are complex conjugate poles,C,,,,,,,,,,,,,,,,,,,
NetworkFunctions,"Given H(s) = (s + 5) / (s^2 + 3s + 2), the finite poles are at:",s = -5,"s = -1, -2",s= -3,"s = 0, -2",B,,,,,,,,,,,,,,,,,,,
NetworkFunctions,A network function H(s) =                                          10(s + 2) / s(s + 1)(s + 3)^2,"Double pole at s = -3, zero at s = -2","Double zero at s = -3, pole at s = -2","Poles at s= 0, -1, -3","Zeros at s = 0, -1",A,,,,,,,,,,,,,,,,,,,
NetworkFunctions,"An active network has H(s) = -a / RCs + 1 - a. For stability, we require:",a > 1,a < 1,a = 1,a > 0,B,,,,,,,,,,,,,,,,,,,
NetworkFunctions,"For a series RLC circuit with R = 4ꭥ, L =1H, C = 0.25F, the transfer function Vc(s) / Vin(s) is:",1 / s^2 +4s + 4,4 / s^2 +4s + 4,1 / s^2 +4s + 1,1 / s^2 +4s + 16,A,,,,,,,,,,,,,,,,,,,
