id,topicId,question,optionA,optionB,optionC,answer,explanation,pdfFile,pdfPage
121,1,"Formula for two resistors R1, R2 in parallel:",R1+R2,(R1*R2)/(R1+R2),1/R1 + 1/R2,(R1*R2)/(R1+R2),Product over sum.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,26
122,1,Voltage Division Rule applies to elements in:,Series,Parallel,Mesh,Series,Divides source voltage proportional to resistance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,26
123,1,Current Division Rule applies to elements in:,Series,Parallel,Loop,Parallel,Divides source current inversely proportional to resistance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,26
124,1,Power is defined as product of:,V and R,V and I,I and R,V and I,P = VI.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,36
125,1,Resistors dissipate energy as:,Magnetic field,Heat,Electric field,Heat,Lossy component.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,13
126,1,Linearity requires:,Additivity and Homogeneity,Stability,Causality,Additivity and Homogeneity,Mathematical definition of linear system.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,1
127,1,Nodal Analysis uses:,KCL,KVL,Ohm's Law only,KCL,Sum of currents at node is zero.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,2
128,1,Mesh Analysis uses:,KCL,KVL,Power Balance,KVL,Sum of voltages in loop is zero.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,2
129,1,A Supernode is formed when:,Current source is between non-reference nodes,Voltage source is between non-reference nodes,Resistor is large,Voltage source is between non-reference nodes,Simplifies nodal analysis.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,33
130,1,A Supermesh is formed when:,Current source is shared by two meshes,Voltage source is shared,No source is shared,Current source is shared by two meshes,Simplifies mesh analysis.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,34
131,1,Conductance G equals:,R,1/R,R^2,1/R,Inverse of resistance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,1
132,1,Power absorbed by resistor:,I^2 * R,I^2 / R,V * R,I^2 * R,Joule's Law.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,23
133,1,Dependent sources are controlled by:,Time,Another voltage or current,Temperature,Another voltage or current,"VCVS, VCCS, CCVS, CCCS.",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,22
134,1,Active elements:,Dissipate energy,Generate energy,Store energy,Generate energy,"Sources, Op-Amps (with supply).",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,34
135,1,Passive elements:,Cannot generate net energy,Have negative resistance,Are voltage sources,Cannot generate net energy,"R, L, C.",EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,34
136,1,Short circuit implies:,"R=0, V=0","R=inf, I=0","R=0, I=0","R=0, V=0",Zero resistance path.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,2
137,1,Open circuit implies:,"R=0, V=0","R=inf, I=0","R=inf, V=0","R=inf, I=0",No current can flow.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,6
138,1,Ground reference has voltage:,5V,0V,Infinity,0V,Reference point.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,2
139,1,Millman's Theorem is useful for:,Parallel voltage sources,Series voltage sources,Series current sources,Parallel voltage sources,Finds common voltage across parallel branches.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,1
140,1,Tellegen's Theorem relates to:,Power conservation,Voltage division,Current division,Power conservation,Sum of power is zero in any circuit.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,1
141,1,Dual of Voltage is:,Current,Charge,Flux,Current,Duality principle.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,26
142,1,Dual of Resistance is:,Inductance,Conductance,Capacitance,Conductance,R <-> G.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,25
143,1,Instantaneous Power p(t) is:,v(t) * i(t),Vrms * Irms,Vdc * Idc,v(t) * i(t),Time domain product.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,36
144,1,Unit of Charge is:,Ampere,Coulomb,Volt,Coulomb,Charge is measured in Coulombs (C). 1 Ampere = 1 Coulomb per second.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,17
145,1,Unit of Energy is:,Watt,Joule,Newton,Joule,Energy is measured in Joules (J). Watts are for Power (rate of energy).,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,17
146,1,Electron flow is opposite to:,Conventional current,Voltage,Power,Conventional current,Historical definition.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,2
147,1,Specific resistance depends on:,Length,Material,Area,Material,Resistivity is a material property.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,25
148,1,Conductivity is inverse of:,Resistance,Resistivity,Conductance,Resistivity,Sigma = 1 / Rho.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,1
149,1,Temperature coefficient of copper is:,Positive,Negative,Zero,Positive,R increases with T.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,1
150,1,Resistance of a wire is proportional to:,Area,Length,Volume,Length,R = Rho * L / A.,EE2101_CIRCUIT_ANALYSIS_LECTURE_1_V1(1).pdf,25
201,2,Capacitor stores energy in:,Magnetic field,Electric field,Heat,Electric field,Between plates.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
202,2,Inductor stores energy in:,Magnetic field,Electric field,Chemical bonds,Magnetic field,Flux lines.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
203,2,Unit of Capacitance:,Henry,Farad,Ohm,Farad,F.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,26
204,2,Unit of Inductance:,Henry,Farad,Weber,Henry,H.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,26
205,2,Voltage across capacitor cannot change:,Slowly,Instantly,At all,Instantly,Requires infinite current.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,12
206,2,Current through inductor cannot change:,Slowly,Instantly,Linearly,Instantly,Requires infinite voltage.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,12
207,2,IV relation for Capacitor:,i = C dv/dt,v = C di/dt,v = iR,i = C dv/dt,Current flows only when voltage changes (dv/dt) across the capacitor.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
208,2,IV relation for Inductor:,v = L di/dt,i = L dv/dt,v = Li,v = L di/dt,Voltage is induced only when current changes (di/dt) through the inductor.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
209,2,Capacitors in parallel combine:,Additively (C1+C2),Inversely (1/C),Like resistors,Additively (C1+C2),"Adding capacitors in parallel increases the total plate area, thus increasing capacitance.",EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,5
210,2,Inductors in series combine:,Additively (L1+L2),Inversely,Like capacitors,Additively (L1+L2),"Inductances in series add up, similar to resistors in series.",EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,22
211,2,DC steady state behavior of Capacitor:,Short Circuit,Open Circuit,Resistor,Open Circuit,"In DC, voltage is constant (dv/dt = 0), so current i = C(0) = 0, acting as an open circuit.",EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
212,2,DC steady state behavior of Inductor:,Short Circuit,Open Circuit,Source,Short Circuit,"In DC, current is constant (di/dt = 0), so voltage v = L(0) = 0, acting as a short circuit (wire).",EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
213,2,Time constant of RC circuit:,L/R,RC,1/RC,RC,Time constant (tau) = R * C. It determines how fast the capacitor charges/discharges.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,3
214,2,Time constant of RL circuit:,L/R,RL,R/L,L/R,Time constant (tau) = L / R. Larger resistance makes the current decay faster.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,3
215,2,Energy in Capacitor:,1/2 CV^2,1/2 LI^2,CV,1/2 CV^2, Joules.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
216,2,Energy in Inductor:,1/2 CV^2,1/2 LI^2,LI,1/2 LI^2,Joules.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
217,2,Ideal Capacitor dissipates:,0 Watts,Infinite Watts,Heat,0 Watts,"Stores energy, doesn't burn it.",EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
218,2,Ideal Inductor dissipates:,0 Watts,I^2 R,Heat,0 Watts,Stores energy only.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
219,2,Mutual Inductance M exists between:,Capacitors,Coupled Inductors,Resistors,Coupled Inductors,Transformers.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,23
220,2,Coefficient of Coupling k is between:,0 and 1,-1 and 1,1 and 100,0 and 1,Fraction of flux linkage.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,15
221,2,"If k=1, coils are:",Loosely coupled,Perfectly coupled,Uncoupled,Perfectly coupled,Maximum linkage.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
222,2,Capacitance depends on:,Voltage,Geometry and Dielectric,Current,Geometry and Dielectric,Physical property.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
223,2,Dielectric constant affects:,Resistance,Capacitance,Inductance,Capacitance,Increases C.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,7
224,2,Permeability affects:,Resistance,Capacitance,Inductance,Inductance,Core material property.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
225,2,Identify the passive component:,Transistor,Capacitor,Battery,Capacitor,Passive.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,20
226,2,Current leads Voltage in:,Inductor,Capacitor,Resistor,Capacitor,ICE: Current leads EMF (Voltage) in a Capacitor.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,12
227,2,Voltage leads Current in:,Inductor,Capacitor,Resistor,Inductor,ELI: EMF (Voltage) leads Current in an Inductor.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,12
228,2,Reactance of Capacitor Xc:,wL,1/wC,wC,1/wC,Inverse with freq.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
229,2,Reactance of Inductor Xl:,wL,1/wL,w^2 L,wL,Direct with freq.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
230,2,"At DC (f=0), Xc is:",Zero,Infinite,One,Infinite,Open circuit.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
231,2,"At DC (f=0), Xl is:",Zero,Infinite,One,Zero,Short circuit.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
232,2,"At very high freq, Capacitor acts as:",Short Circuit,Open Circuit,Inductor,Short Circuit,Low impedance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
233,2,"At very high freq, Inductor acts as:",Short Circuit,Open Circuit,Capacitor,Open Circuit,High impedance.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
234,2,Dot convention indicates:,Voltage polarity,Current direction,Winding direction,Voltage polarity,Relative polarity of induced voltage.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
235,2,Capacitors block:,AC,DC,Signals,DC,Open circuit to DC.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
236,2,Inductors block (choke):,High frequencies,Low frequencies,DC,High frequencies,High impedance to AC.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
237,2,Variable capacitor is called:,Potentiometer,Varactor/Trimmer,Rheostat,Varactor/Trimmer,Tunable value.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
238,2,Electrolytic capacitors have:,Polarity,No polarity,Infinite life,Polarity,+ and - terminals.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
239,2,Q factor relates to:,Quality/Energy Storage,Quantity,Quickness,Quality/Energy Storage,Stores energy vs lost.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,37
240,2,Energy density is highest in:,Capacitors,Inductors,Batteries,Batteries,Chemical storage is denser.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
241,2,Supercapacitors bridge gap between:,Capacitors and Batteries,Inductors and Resistors,None,Capacitors and Batteries,"High C, fast charge.",EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,23
242,2,Stray capacitance occurs:,Between any conductors,Only in capacitors,In vacuum,Between any conductors,Parasitic effect.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
243,2,Self-resonance freq (SRF) is where component becomes:,Resistive,Non-functional,Ideal,Resistive,L and C cancel.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,29
244,2,Core saturation happens in:,Air core inductors,Iron core inductors,Capacitors,Iron core inductors,Magnetic limit.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
245,2,Leakage current is found in:,Ideal Capacitors,Real Capacitors,Ideal Inductors,Real Capacitors,Imperfection.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,12
246,2,Equivalent Series Resistance (ESR) affects:,Capacitor efficiency,Inductor color,Voltage rating,Capacitor efficiency,Parasitic R.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,22
247,2,Ceramic capacitors are good for:,High frequency,High Energy,DC filtering only,High frequency,Low ESL.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,2
248,2,Ferrite beads are used as:,Inductors/chokes,Capacitors,Resistors,Inductors/chokes,Suppress EMI.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
249,2,Transformer core is laminated to reduce:,Eddy currents,Weight,Cost,Eddy currents,Heat loss.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
250,2,Flux linkage is:,NI,N * phi,B * A,N * phi,Turns times flux.,EE2101_CIRCUIT_ANALYSIS_LECTURE_5_V2.pdf,1
301,3,Transient response is due to:,Resistors,Energy storage elements,Sources,Energy storage elements,L and C cannot change state instantly.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
302,3,Steady state implies:,t = 0,t -> infinity,t = tau,t -> infinity,Responses have settled.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,20
303,3,Time constant tau for RC:,RC,R/C,1/RC,RC,Tau = R × C. Represents time to reach ~63.2% of final value.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,16
304,3,Time constant tau for RL:,L/R,R/L,RL,L/R,Tau = L / R. Represents time to reach ~63.2% of final value.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,16
305,3,Voltage across C during charging (step input):,Exponential rise,Linear rise,Instant step,Exponential rise,V(1 - e^-t/tau).,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,20
306,3,Current in L during energizing (step voltage):,Exponential rise,Step,Linear,Exponential rise,Similar to C voltage.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,20
307,3,"At t=0+, an uncharged capacitor acts as:",Short Circuit,Open Circuit,Resistor,Short Circuit,"Voltage is 0, so it looks like a short.",EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,21
308,3,"At t=0+, an energized inductor acts as:",Current Source,Voltage Source,Open Circuit,Current Source,Maintains initial current.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,21
309,3,"After 1 time constant, response reaches:",50%,63.2%,99%,63.2%,According to 1 - e^(-1) ≈ 0.632.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,16
310,3,"After 5 time constants, response is:",Finished,>99%,63%,>99%,"According to 1 - e^(-5) ≈ 0.993, effectively steady state.",EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,16
311,3,Natural response is also called:,Forced response,Zero-input response,Steady state,Zero-input response,Due to initial conditions only.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
312,3,Forced response is due to:,Initial energy,Independent sources,Resistors,Independent sources,The input driving function.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
313,3,Complete response is sum of:,Natural + Forced,DC + AC,V + I,Natural + Forced,Superposition.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,19
314,3,First-order circuits contain:,1 storage element,2 storage elements,0 storage elements,1 storage element,Or equivalent to 1 (e.g. series C's).,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,2
315,3,Second-order circuits contain:,R and L,L and C,Two R's,L and C,Or two non-combinable same-type elements.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,2
316,3,Overdamped response has:,Oscillations,Slow non-oscillatory decay,Fast decay,Slow non-oscillatory decay,Two real roots.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,4
317,3,Underdamped response has:,Oscillations,No oscillations,Step change,Oscillations,Complex roots (ringing).,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,4
318,3,Critically damped response is:,Fastest non-oscillatory,Slowest,Oscillatory,Fastest non-oscillatory,Borderline case.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,4
319,3,Damping ratio 'zeta' < 1 implies:,Overdamped,Underdamped,Critically damped,Underdamped,Oscillatory.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
320,3,"In series RLC, 'alpha' (neper freq) is:",R/2L,1/sq(LC),RC,R/2L,Damping factor definition.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,7
321,3,Resonant frequency 'omega_0' is:,1/sq(LC),sq(LC),R/L,1/sq(LC),Natural freq.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,8
322,3,"If alpha > omega_0, system is:",Overdamped,Underdamped,Resonant,Overdamped,Dominant damping.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
323,3,Unit impulse response is derivative of:,Step response,Ramp response,Sinusoidal response,Step response,d/dt u(t) = delta(t).,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
324,3,Unit step function u(t) is 1 for:,t < 0,t > 0,all t,t > 0,Heaviside function.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
325,3,Switching usually causes:,Transients,Steady state,Nothing,Transients,Change in state.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
326,3,"At t=infinity, L behaves as:",Open,Short,Source,Short,DC short.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
327,3,Continuity condition applies to:,Vr and Ir,Vc and Il,Ic and Vl,Vc and Il,Stored energy variables.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,21
328,3,Energy in tank circuit (LC) osscilates between:,R and L,L and C,Source and Load,L and C,Electric <-> Magnetic.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,6
329,3,Time constant is measured in:,Seconds,Hertz,Ohms,Seconds,Time unit.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,16
330,3,"In parallel RLC, alpha is:",1/(2RC),R/2L,RC,1/(2RC),Parallel damping.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
331,3,Settle time (5%) is approx:,3 tau,5 tau,1 tau,3 tau,Sometimes 3 or 4 depending on def.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,16
332,3,Source-free RC circuit voltage:,Decays,Grows,Stays constant,Decays,Resistor dissipates energy.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,6
333,3,Integrating factor method solves:,1st order diff eq,Algebraic eq,3rd order eq,1st order diff eq,Math tool.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,12
334,3,Particular solution corresponds to:,Forced response,Natural response,Transient,Forced response,Math term.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,8
335,3,Homogeneous solution corresponds to:,Forced response,Natural response,Steady State,Natural response,Math term.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,8
336,3,Characteristic equation roots determine:,Stability/Type of response,Amplitude,Initial value,Stability/Type of response,Exponents.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,8
337,3,If roots are real and equal:,Critically damped,Overdamped,Underdamped,Critically damped,Repeated roots.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,4
338,3,Mechanical analog of Inductance is:,Friction,Mass,Spring,Mass,Inertia.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
339,3,Mechanical analog of Capacitance is:,Spring (Compliance),Mass,Damper,Spring (Compliance),Elasticity.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
340,3,Mechanical analog of Resistance is:,Damper (Friction),Mass,Spring,Damper (Friction),Energy loss.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
341,3,Singularity functions include:,"Sin, Cos","Step, Impulse, Ramp","Exp, Log","Step, Impulse, Ramp",Discontinuous functions.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
342,3,Impulse function has area:,Zero,One,Infinite,One,Definition of Dirac Delta.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
343,3,Step response of differentiator is:,Impulse,Ramp,Step,Impulse,Derivative of step is impulse.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
344,3,Impulse response of integrator is:,Step,Ramp,Impulse,Step,Integral of impulse is step.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
345,3,Pulse width affects:,Frequency content,Amplitude only,Phase only,Frequency content,Narrow pulse -> wide bandwidth.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,22
346,3,Duty cycle is:,On time / Period,Off time / Period,Period / On time,On time / Period,Ratio.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
347,3,Square wave contains:,Even harmonics,Odd harmonics,All harmonics,Odd harmonics,Fourier series property.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
348,3,Which circuit acts as Low Pass Filter?,Series RC (Output across C),Series RC (Output across R),Series LC,Series RC (Output across C),Passes DC.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,6
349,3,Which circuit acts as High Pass Filter?,Series RC (Output across C),Series RC (Output across R),Inductor only,Series RC (Output across R),Blocks DC.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,6
350,3,Bandwidth relates to:,Rise time,DC level,Voltage source,Rise time,Inverse relationship.,EE2101_CIRCUIT_ANALYSIS_LECTURE_6_V1.pdf,1
