id,topic_id,difficulty,prompt,option_a,option_b,option_c,option_d,answer,image_url,explanation,created_at,type
24,1,3,"In the below circuit, determine Vo and the power absorbed by the dependent source.","V0 = -11.43, P = 574.7","V0 = -11.41, P = 574.8","V0 = -11.45, P = 575.01","V0 = -11.43, P = 574.17","V0 = -11.43, P = 574.7",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ1.png?raw=true,NULL,45:00.6,mcq
25,1,4,Find i1 to i4 in the below circuit.,"i1 = –6.07, i2 = –1.64, i3 = –7.51, i4 = –2.77","i1 = –5.17, i2 = –2.54, i3 = –6.51, i4 = –3.77","i1 = –7.71, i2 = –2.57, i3 = –6.17, i4 = –1.54","i1 = –6.17, i2 = –1.54, i3 = –7.71, i4 = –2.57","i1 = –6.17, i2 = –1.54, i3 = –7.71, i4 = –2.57",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ2.png?raw=true,NULL,45:00.6,mcq
26,1,4,Determine Vo and Io.,"Vo = 60.3 V, Io = 1.13 A","Vo = 52.4 V, Io = 0.67 A","Vo = 151.9 V, Io = 1.24 A","Vo = 50 V, Io = 0 A","Vo = 50 V, Io = 0 A",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ3.png?raw=true,NULL,45:00.6,mcq
27,1,5,Calculate V and I in the circuit below.,"V = 4.64V, I = 10.41A","V = 3.85V, I = 8.19A","V = 4.64V, I = 10.47A","V = 3.81V, I = 8.19A","V = 3.81V, I = 8.19A",https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ4.png?raw=true,NULL,45:00.6,mcq
28,1,5,Calculate the equivalent resistance between a and b terminals. All of the resistances are 60 Ω.,66.67,66.64,66.61,70.12,66.67,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ5.png?raw=true,NULL,45:00.6,mcq
29,2,1,Find Leq in the circuit below. Assume L = 10mH,5,5.33,4.54,4.52,5,[object Object],NULL,45:00.6,mcq
30,2,1,"A circuit consisting of a DC voltage source, a resistor, and a capacitor has been connected for a very long time. In this steady-state condition, how does the capacitor behave in the circuit?",It acts as a short circuit,It acts as an open circuit.,It acts as a purely resistive element.,It acts as an ideal voltage source.,It acts as an open circuit.,NULL,NULL,45:00.6,mcq
31,2,1,An inductor with an inductance of L = 4mH has a steady current of I = 5A flowing through it. What is the total energy stored in the inductor's magnetic field?,10mJ,50mJ,100mJ,20mJ,50mJ,NULL,NULL,45:00.6,mcq
32,2,1,A student connects two capacitors of 10microF in series. What is the equivalent capacitance of this combination?,20microF,10microF,5microF,100microF,5microF,NULL,NULL,45:00.6,mcq
33,2,1,"A switch in a circuit containing an inductor is suddenly opened at t=0. Which of the following statements is true regarding the inductor's current, i_L, the moment the switch is toggled?",The current immediately drops to zero.,The current reverses direction instantly.,The current cannot change instantaneously,The voltage across the inductor must remain constant.,The current cannot change instantaneously,NULL,NULL,45:00.6,mcq
34,2,1,The voltage across a parallel combination of 120 mF capacitor and a 15 Ω resistor is 45e^-2000t V. Calculate the power which is absorbed by this parallel combination.,-486000e^-4000t,-486020e^-4050t,-485865e^-4000t,-485865000e^-4550t,-485865e^-4000t,NULL,NULL,45:00.6,mcq
35,2,2,The current through a 1 F capacitor is 8(2-e^-t) A. Determine the voltage and power at t = 3s. Assume v(0)= 0.,"V = 40.4, P = 630.31","V = 40.12, P = 630.32","V = 40.1, P = 630.31","V = 40.45, P = 630.34","V = 40.4, P = 630.31",NULL,NULL,45:00.6,mcq
36,2,2,Find the equivalent capacitance for the circuit below. All capacitors are in μF.,Ceq = 8.1,Ceq = 8.4,Ceq = 8.7,Ceq = 9.2,Ceq = 8.4,[object Object],NULL,45:00.6,mcq
37,2,2,"An inductor has a linear change in current from 40 mA to 120 mA in 3 ms, and induces a voltage of 150 mV. Find the value of the inductor.",L = 5.526 mH,L = 5.265mH,L = 5.625 mH,L = 5.625 MH,L = 5.625 mH,NULL,NULL,45:00.6,mcq
38,2,2,Determine the voltage and the energy stored in the 60 μF capacitor.,"V = 60.0V, W=108.0mJ","V = 60.5V, W=108.3mJ","V = 58.0V, W=108.0mJ","V = 60.0V, W=109.0mJ","V = 60.0V, W=108.0mJ",[object Object],NULL,45:00.6,mcq
39,2,2,Find the equivalent inductance with respect to terminals a and b.,Leq = 9.2H,Leq = 9.3H,Leq = 9.1H,Leq = 10.2H,Leq = 9.2H,[object Object],NULL,45:00.6,mcq
40,2,2,"Two magnetically coupled coils have self-inductances of 20 mH and 80 mH, and the mutual inductance between them is 32 mH. Find (a) the coefficient of coupling, and (b) the largest value that M can have.","K = 0.8555, M_max = 40.0mH","K = 0.8, M_max = 40.55mH","K = 0.8, M_max = 40.0mH","K = 0.7, M_max = 40.0mH","K = 0.8, M_max = 40.0mH",NULL,NULL,45:00.6,mcq
41,2,3,"The voltage across a 30 mF capacitor at t = 0 is 15 V, for t > 0 the current 6t mA flows through it. Calculate the voltage at 3 = 3s.",V = 15.3V,V = 15.9V,V = 16.3V,V = 17.1V,V = 15.9V,NULL,NULL,45:00.6,mcq
42,2,3,"Find i_L, V_c, and the energy stored in the capacitor and inductor in the below circuit.","i_L = 2.86A, V_c = 0V, W_L = 8.16J, W_C = 0.5J","i_L = 2.86A, V_c = 0.3V, W_L = 8.16J, W_C = 0J","i_L = 2.88A, V_c = 0V, W_L = 8.16J, W_C = 0J","i_L = 2.86A, V_c = 0V, W_L = 8.16J, W_C = 0J","i_L = 2.86A, V_c = 0V, W_L = 8.16J, W_C = 0J",[object Object],NULL,45:00.6,mcq
43,2,3,The voltage across a 10 F capacitor is 5te^(-6t). Find the current and power of the capacitor at t = 2s.,"i = -3.379mA, P = -0.207microW","i = -3.381mA, P = -0.270microW","i = -3.339mA, P = -0.207microW","i = -3.379mA, P = -0.267microW","i = -3.379mA, P = -0.207microW",NULL,NULL,45:00.6,mcq
44,2,3,The current through a 15 mH inductor is 20e^(-t/3). Calculate the voltage and power at t = 4s.,"v = -26.359 mV, P = -138.966mW","v = -27.359 mV, P = -133.966mW","v = -26.359 mV, P = -138.696mW","v = -26.366 mV, P = -138.966mW","v = -26.359 mV, P = -138.966mW",NULL,NULL,45:00.6,mcq
45,2,3,"The voltage across a 4 H inductor is 40(1-e^(-4t))V. Assume the initial current of the inductor is 0.5 A, and find the energy stored in the inductor at t = 2s.",W = 645.06J,W = 648.06J,W = 682.06J,W = 692.60J,W = 648.06J,NULL,NULL,45:00.6,mcq
46,3,1,"A series RC circuit has R=10 kΩR=10\,\text{k}\OmegaR=10kΩ and C=10 μFC=10\,\mu\text{F}C=10μF. A DC source is connected at t=0t=0t=0. What is the time constant?",0.01 s,0.1 s,1 s,10 s,0.1 s,NULL,NULL,45:00.6,mcq
47,3,1,"In an RC circuit, vC(0−)=5 Vv_C(0^-)=5\,\text{V}vC​(0−)=5V. What is vC(0+)v_C(0^+)vC​(0+)?",0 V,2.5 V,5 V,Depends on R,5 V,NULL,NULL,45:00.6,mcq
48,3,1,"For a charging RC circuit with a DC source, vC(t)v_C(t)vC​(t) will:",Increase linearly,Increase exponentially,Oscillate,Remain constant,Increase exponentially,NULL,NULL,45:00.7,mcq
49,3,1,"An RL circuit has R=5 ΩR=5\,\OmegaR=5Ω, L=2 HL=2\,\text{H}L=2H. What is the time constant?",0.1 s,0.4 s,2.5 s,10 s,0.4 s,NULL,NULL,45:00.7,mcq
50,3,1,Which statement is always true for an ideal inductor?,Voltage is continuous,Current is continuous,Power is continuous,Energy is zero,Current is continuous,NULL,NULL,45:00.7,mcq
51,3,1,"In an RL circuit switched at t=0t=0t=0, iL(0+)i_L(0^+)iL​(0+) is:",Steady-state value,Infinite,Equal to iL(0−)i_L(0^-)iL​(0−),Always zero,Equal to iL(0−)i_L(0^-)iL​(0−),NULL,NULL,45:00.7,mcq
52,3,1,A series RLC circuit is underdamped when:,R2>4L/CR^2>4L/CR2>4L/C,R2=4L/CR^2=4L/CR2=4L/C,R2<4L/CR^2<4L/CR2<4L/C,R=0R=0R=0,R2<4L/CR^2<4L/CR2<4L/C,NULL,NULL,45:00.7,mcq
53,3,1,The natural response of a circuit is due to:,External sources,Initial stored energy,AC excitation,Controlled sources,Initial stored energy,NULL,NULL,45:00.7,mcq
54,3,2,Which is required for a second-order transient response?,One resistor,One capacitor,One inductor and one capacitor,Two resistors,One inductor and one capacitor,NULL,NULL,45:00.7,mcq
55,3,2,A transient response is usually negligible after about:,1τ1\tau1τ,2τ2\tau2τ,3τ3\tau3τ,5τ5\tau5τ,5τ5\tau5τ,NULL,NULL,45:00.7,mcq
56,3,2,"In sinusoidal steady-state analysis, all voltages and currents:",Are constant,Grow exponentially,Have the source frequency,Depend on initial conditions,Have the source frequency,NULL,NULL,45:00.7,mcq
57,3,2,The phasor of v(t)=10cos⁡(100t+30∘)v(t)=10\cos(100t+30^\circ)v(t)=10cos(100t+30∘) is:,10∠30∘10∠30^\circ10∠30∘,10∠−30∘10∠-30^\circ10∠−30∘,5∠30∘5∠30^\circ5∠30∘,10∠100∘10∠100^\circ10∠100∘,10∠30∘10∠30^\circ10∠30∘,NULL,NULL,45:00.7,mcq
58,3,2,The impedance of a capacitor is:,jωCj\omega CjωC,1/(jωC)1/(j\omega C)1/(jωC),ωC\omega CωC,1/(ωC)1/(\omega C)1/(ωC),1/(jωC)1/(j\omega C)1/(jωC),NULL,NULL,45:00.7,mcq
59,3,2,The impedance of an inductor is:,1/(jωL)1/(j\omega L)1/(jωL),ωL\omega LωL,jωLj\omega LjωL,−jωL-j\omega L−jωL,jωLj\omega LjωL,NULL,NULL,45:00.7,mcq
60,3,2,"In a purely capacitive circuit, current:",Lags voltage by 90°,Leads voltage by 90°,Is in phase,Is zero,Leads voltage by 90°,NULL,NULL,45:00.7,mcq
61,3,2,The average power consumed by a pure inductor is:,Maximum,Reactive only,Zero,Negative,Zero,NULL,NULL,45:00.7,mcq
62,3,3,Power factor is defined as:,Q/SQ/SQ/S,cos⁡θ\cos\thetacosθ,Vrms/IrmsV_{rms}/I_{rms}Vrms​/Irms​,sin⁡θ\sin\thetasinθ,cos⁡θ\cos\thetacosθ,NULL,NULL,45:00.7,mcq
63,3,3,Frequency response analysis studies circuit behavior as:,Time varies,Resistance varies,Frequency varies,Temperature varies,Frequency varies,NULL,NULL,45:00.7,mcq
64,3,3,"In an RC low-pass filter, output is taken across the:",Resistor,Capacitor,Source,Inductor,Capacitor,NULL,NULL,45:00.7,mcq
65,3,3,The total response of a linear circuit equals the sum of:,DC and AC,Input and output,Transient and steady-state,Natural only,Transient and steady-state,NULL,NULL,45:00.7,mcq
66,4,1,Which of the following is NOT a standard assumption for an ideal operational amplifier?,Infinite open-loop voltage gain,Zero input offset voltage and current,Infinite input impedance,Infinite output impedance,Infinite output impedance,NULL,NULL,45:00.6,mcq
67,4,2,"In an ideal op amp, what is the voltage difference between the inverting and non-inverting inputs when negative feedback is applied?",Equal to supply voltage,Zero,Depends on the input signal,Equal to output voltage,Zero,NULL,NULL,45:00.6,mcq
68,4,2,What is the configuration of the op-amp shown in the figure?,Non-inverting amplifier,Differential amplifier,Inverting amplifier,Voltage follower,Inverting amplifier,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Inv.png?raw=true,NULL,45:00.6,mcq
69,4,2,Which op amp configuration provides a positive gain without inverting the input signal?,Non-inverting amplifier,Differential amplifier,Inverting amplifier,Summing amplifier,Non-inverting amplifier,NULL,NULL,45:00.6,mcq
70,4,1,What is the configuration of the op-amp shown in the figure?,Differential amplifier,Non-inverting amplifier,Inverting amplifier,Voltage follower,Non-inverting amplifier,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/NonInv.png?raw=true,NULL,45:00.6,mcq
71,4,1,Which component is essential for setting the gain in an inverting op amp configuration?,Capacitor,Diode,Resistor,Transistor,Resistor,NULL,NULL,45:00.6,mcq
72,4,1,What happens if the op amp is used without feedback?,It acts as comparator,It amplifies with controlled gain,It becomes a voltage follower,It rejects input signals,It acts as comparator,NULL,NULL,45:00.6,mcq
73,4,1,What is the main purpose of negative feedback in op amp circuits?,Eliminate output voltage,Increase open-loop gain,Stabilize and control closed-loop gain,Reduce input impedance,Stabilize and control closed-loop gain,NULL,NULL,45:00.6,mcq
74,4,2,An op-amp is best modeled as which type of dependent source?,Current-controlled current source,Voltage-controlled current source,Current-controlled voltage source,Voltage-controlled voltage source,Voltage-controlled voltage source,NULL,NULL,45:00.6,mcq
75,4,2,Why is the output impedance of an ideal op-amp assumed to be zero?,To prevent input terminals from drawing current,Op-amp cannot deliver any current to the load,To ensure output voltage is unaffected by the connected load,To make the op-amp behave like an open circuit at the output,To ensure output voltage is unaffected by the connected load,NULL,NULL,45:00.6,mcq
76,4,2,"Among the many uses of operational amplifiers, which of the following represents a valid application",To generate digital clock pulse,To amplify voltage signals,To store electrical charge like a capacitor,To convert AC signals directly into DC power,To amplify voltage signals,NULL,NULL,45:00.6,mcq
77,4,3,What is the output voltage Vo in terms of Vi?,1-Vi,Vi,0,A*Vi (where A is open-loop gain),Vi,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Follower.jpg?raw=true,NULL,45:00.6,mcq
78,4,3,"If input voltage is 0, what is the output voltage?",0V,1V,2V,3V,0V,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Input.png?raw=true,NULL,45:00.6,mcq
79,4,3,Find the output voltage V3.,-1,-3,-6,-9,-6,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output.png?raw=true,NULL,45:00.6,mcq
80,4,3,Find the output voltage Vout.,9,10,11,12,12,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output2.png?raw=true,NULL,45:00.6,mcq
81,4,4,Find the current flowing through R3.,1A,2A,3A,4A,1A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output3.png?raw=true,NULL,45:00.6,mcq
82,4,4,What is the voltage at point A?,(V1/R1)*R2,(-V1/R1)*R2,V1,V2,(-V1/R1)*R2,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output4.png?raw=true,NULL,45:00.6,mcq
83,4,4,What is the current flowing through R3 from the ground?,(-V1/R1)*R2/R3,(V1/R1)*R2/R3,V2/R1,V2/R2,(-V1/R1)*R2/R3,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output4.png?raw=true,NULL,45:00.6,mcq
84,4,5,What is the expression of V_out in terms of V_in?,(R2/R1)*V_in,(R1/R2)*V_in,(1+R2/R1)*V_in,(1+R1/R2)*V_in,(1+R2/R1)*V_in,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/NonInv.png?raw=true,NULL,45:00.6,mcq
85,4,5,What is the expression of V_out in terms of V_in?,(-R2/R1)*V_in,(-R1/R2)*V_in,(R2/R1)*V_in,(R1/R2)*V_in,(-R2/R1)*V_in,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Inv.png?raw=true,NULL,45:00.6,mcq
86,5,1,What is the Laplace transform of a time-domain signal f(t)?,,,,,,NULL,NULL,45:00.6,mcq
87,5,1,What is the Laplace transform of u(t)u(t)u(t)?,A. s,,c. 1/s,D.1,c. 1/s,NULL,NULL,45:00.6,mcq
88,5,1,Which of the following correctly represents a capacitor in the s-domain (zero initial voltage)?,A. sC,B. 1/C,C.1/sC,D.s/C,C.1/sC,NULL,NULL,45:00.6,mcq
89,5,1,"Which expression gives 
𝑓(0+)?",,,,,,NULL,NULL,45:00.6,long
90,5,1,"Find the Laplace transform of
f(t)=3u(t)",,,,,,NULL,NULL,45:00.6,long
91,5,1,"In DC steady state, a capacitor behaves as an open circuit.",TRUE,FALSE,,,TRUE,(It behaves as a short circuit),NULL,45:00.6,mcq
92,5,2,Initial conditions in Laplace analysis appear as independent sources in the s-domain.,TRUE,FALSE,,,TRUE,NULL,NULL,45:00.6,mcq
93,5,2,what is the S domain for the following components?,u(t),capacitor,inductor,,u(t),1/sC=3/s,NULL,45:00.6,mcq
94,5,2,mesh 1(left side): fill in the blank: (a)I1(s)+(b)I2(s)=(c),,,,,,NULL,NULL,45:00.6,mcq
95,5,2,mesh 2(right side): fill in the blank:(d)I1(s)+(e)I2(s)=(f),d=(?),e=(?),f=(?),,d=(?),5+s+3/s,NULL,45:00.6,mcq
96,5,2,calculateV0(s),,,,,,NULL,NULL,45:00.6,mcq
97,5,2,calculateV0(t),,,,,,NULL,NULL,45:00.6,mcq
98,5,2,"enter the vsalues for A,B,C,D",A=0.357,B=0.5,C=-0.357,D=0.625,A=0.357,NULL,NULL,45:00.6,mcq
99,5,2,Determine io(t) across the 2H inductor for t>0 in the network below by applying Laplace transforms.,,,,,,NULL,NULL,45:00.6,mcq
100,6,1,A transfer function H(s) is defined as:,Vin(s) / Vout(s),"Y(s) / X(s) , where Y is o/p, X is i/p",I(s) / V(s),N(s) / D(s),"Y(s) / X(s) , where Y is o/p, X is i/p",NULL,NULL,45:00.7,mcq
101,6,1,"If a pole lies in the Open Left Half Plane, the response is",Exponentially Decaying Sinusoid,Exponential Decay,Exponentially Growing Sinusoid,a constant,Exponential Decay,NULL,NULL,45:00.7,mcq
102,6,1,"For a simple RC circuit, if Vin(s) is applied to a series R and C (output across C) the transfer function H(s) = Vc(s) / Vin(s) is:",1 / ( sRC + 1),sRC / (sRC + 1),R / (sRC + 1),1 / sRC,1 / ( sRC + 1),NULL,NULL,45:00.7,mcq
103,6,1,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],NULL,NULL,45:00.7,mcq
104,6,1,Which stable output responses y(t) is critically damped?,"All poles of Y(s) are real, negative and distinct.",All poles of Y(s) lie in the open LHP with at least 1 pair of complex conjugate poles,All the poles of Y(s) are real negative with at least 2 same poles,All the poles of Y(s) are complex conjugate poles,All the poles of Y(s) are real negative with at least 2 same poles,NULL,NULL,45:00.7,mcq
105,6,1,"Given H(s) = (s + 5) / (s^2 + 3s + 2), the finite poles are at:",s = -5,"s = -1, -2",s= -3,"s = 0, -2","s = -1, -2",NULL,NULL,45:00.7,mcq
106,6,1,A network function H(s) =                                          10(s + 2) / s(s + 1)(s + 3)^2,"Double pole at s = -3, zero at s = -2","Double zero at s = -3, pole at s = -2","Poles at s= 0, -1, -3","Zeros at s = 0, -1","Double pole at s = -3, zero at s = -2",NULL,NULL,45:00.7,mcq
107,6,1,"An active network has H(s) = -a / RCs + 1 - a. For stability, we require:",a > 1,a < 1,a = 1,a > 0,a < 1,NULL,NULL,45:00.7,mcq
108,6,1,"For a series RLC circuit with R = 4ꭥ, L =1H, C = 0.25F, the transfer function Vc(s) / Vin(s) is:",1 / s^2 +4s + 4,4 / s^2 +4s + 4,1 / s^2 +4s + 1,1 / s^2 +4s + 16,1 / s^2 +4s + 4,NULL,NULL,45:00.7,mcq
109,6,1,"For a low-pass RC filter (R = 1kꭥ, C = 1uF), the transfer function H(s) = Vo(s)/Vi(S) is:",1 / (1 + s),1 / (1 + sRC),1 / (1 + 0.001s),1 / (1 + 1000s),1 / (1 + 0.001s),NULL,NULL,45:00.7,mcq
110,6,2,"If H(s) has a pole at s = 0 and all others in LHP, and input x(t) = sin(wt)u(t) is applied, the steady-state response will:",Grow linearly with time,Be sinusoidal with constant amplitude,Decay to zero,Be zero,Be sinusoidal with constant amplitude,NULL,NULL,45:00.7,mcq
111,6,2,Which of the following defines the port condition for a two-port network?,[object Object],The current entering one terminal of a port equals the current leaving the other terminal of the same port,No voltage difference between ports,[object Object],The current entering one terminal of a port equals the current leaving the other terminal of the same port,NULL,NULL,45:00.7,mcq
112,6,2,"For the admittance parameters (y), y21 is defined as:",[object Object],[object Object],[object Object],[object Object],[object Object],NULL,NULL,45:00.7,mcq
113,6,2,"For a reciprocal two-port network containing only R,L,C and transformer (no dependent sources), which is always true?",[object Object],[object Object],AD - BC = 0,[object Object],[object Object],NULL,NULL,45:00.7,mcq
114,6,2,Two-ports are connected in cascade. Which parameter set is most convenient to find overall parameters?,z-parameters,y-parameters,h-parameters,ABCD-parameters,ABCD-parameters,NULL,NULL,45:00.7,mcq
115,6,2,A two-port network is symmetrical if:,[object Object],[object Object],[object Object],AD - BC = 1,[object Object],NULL,NULL,45:00.7,mcq
116,6,2,"If the z-parameter matrix is [4,2 ; 2,5], the y-parameter matrix is:","[5/16, -2/16; -2/16, 4/16]","[4, -2; -2, 5]","[0.3125, -0.125; -0.125, 0.25]","[0.25, -0.125; -0.125, 0.3125]","[0.3125, -0.125; -0.125, 0.25]",NULL,NULL,45:00.7,mcq
117,6,2,"For a reciprocal network, the condition in terms of hybrid parameters is:",[object Object],[object Object],[object Object],[object Object],[object Object],NULL,NULL,45:00.7,mcq
118,6,2,"When 2 two-port are connected in parallel, the overall y-parameter matrix is:",Sum of individual y-matrices,Product of individual y-matrices,Inverse of the sum of z-matrices,Not simply related,Sum of individual y-matrices,NULL,NULL,45:00.7,mcq
119,6,2,The ABCD parameter B is defined as:,[object Object],[object Object],[object Object],[object Object],[object Object],NULL,NULL,45:00.7,mcq
120,7,1,In the context of frequency domain analysis what is the angular frequency (ω) of a standard DC voltage source?,20 rad/s,60 rad/s,0 rad/s,Infinite,0 rad/s,NULL,NULL,45:00.7,mcq
121,7,1,Which of the following correctly compares the behavior of an ideal Capacitor in DC steady state versus AC steady state?,DC: Short Circuit AC: Open Circuit,DC: Open Circuit AC: Frequency-dependent Impedance (1/jωC),DC: Resistor AC: Short Circuit,DC: Impedance (jωC) AC: Constant Resistor,DC: Open Circuit AC: Frequency-dependent Impedance (1/jωC),NULL,NULL,45:00.7,mcq
122,7,1,A resistor R=10 Ohm is used in a circuit. How does its impedance change if the source switches from DC to high-frequency AC?,It increases linearly with frequency,It decreases with frequency,It remains constant at 10 Ohm,It becomes zero,It remains constant at 10 Ohm,NULL,NULL,45:00.7,mcq
